price,bath,beds,lat,long
1066,1,2,43.053874,-89.3972549
1900,2,2,43.074761,-89.3837613
789,1,1,43.073012,-89.3986815
2000,1,1,43.111216,-89.3348209
1200,1,2,43.104241,-89.3163949
1250,2,3,43.074761,-89.3837613
1250,2,3,43.074761,-89.3837613
960,1.5,2,43.0024346,-89.4234537
960,1.5,2,43.0024346,-89.4234537
1000,2,2,43.074761,-89.3837613
1110,2,2,43.0691141633,-89.3899077755
1110,2,2,43.0691141633,-89.3899077755
1200,1,2,43.074761,-89.3837613
630,1,1,43.1350795,-89.3715858
1000,1,2,43.1424920838,-89.3040396559
1350,1,3,43.073012,-89.3986815
1869,2,4,43.0674798635,-89.38831519
620,1,1,43.074761,-89.3837613
875,1,2,43.074761,-89.3837613
875,1,2,43.074761,-89.3837613
620,1,1,43.074761,-89.3837613
875,1,2,43.074761,-89.3837613
795,1,1,43.074761,-89.3837613
1000,1,2,43.074761,-89.3837613
1320,2.5,2,43.0995093673,-89.2590691633
300,1,1,43.073012,-89.3986815
300,1,1,43.073012,-89.3986815
1192,2,2,43.0887806,-89.2774692
1435,2,3,43.0887806,-89.2774692
1100,2,3,43.074761,-89.3837613
2100,2,3,43.074761,-89.3837613
1300,1,3,43.117911,-89.3596299
960,1.5,2,43.0024346,-89.4234537
1160,2,3,43.0024346,-89.4234537
960,1.5,2,43.0024346,-89.4234537
450,1,0,43.1350795,-89.3715858
585,1,1,43.1350795,-89.3715858
630,1,1,43.1350795,-89.3715858
630,1,1,43.1350795,-89.3715858
2700,3,5,42.9905492,-89.5335575
700,1,1,43.074761,-89.3837613
800,1,2,43.1055762,-89.5089287
1100,1.5,2,43.110104,-89.2986569
1500,2.5,3,43.074761,-89.3837613
962,1,1,43.074761,-89.3837613
1048,2,2,42.9905492,-89.5335575
2300,2.5,3,43.0301350143,-89.5012015702
1838,2,3,43.0469490949,-89.5121336437
813,1,1,43.0024346,-89.4234537
800,1,1,43.074761,-89.3837613
1200,1,1,43.0024346,-89.4234537
810,1,1,43.0024346,-89.4234537
1200,2,2,43.0024346,-89.4234537
1234,2,1,43.0024346,-89.4234537
1100,1.5,1,43.0024346,-89.4234537
1300,2,2,43.0024346,-89.4234537
1406,2,1,43.074761,-89.3837613
900,1,2,43.1288505,-89.3718224558
1100,1,2,43.0616486,-89.4000486
675,1,1,43.1055762,-89.5089287
825,1,2,43.074761,-89.3837613
625,1,1,43.138174,-89.394678308
800,1,1,43.104241,-89.3163949
700,1,1,43.074761,-89.3837613
600,1,1,43.074761,-89.3837613
625,1,1,43.074761,-89.3837613
840,1,2,43.0947623,-89.369739
975,1,2,43.104241,-89.3163949
1000,1,2,43.074761,-89.3837613
200,1,0,43.1055762,-89.5089287
975,1,2,43.061478,-89.3088509
975,1,2,43.061478,-89.3088509
1150,2.5,2,43.1055762,-89.5089287
1100,1,3,43.074761,-89.3837613
700,1,1,43.1921582,-89.4515658
960,1,2,43.074761,-89.3837613
748,1,1,43.1055762,-89.5089287
975,1,2,43.104241,-89.3163949
833,1,1,43.073012,-89.3986815
850,1,2,43.104241,-89.3163949
1130,1,2,43.0622189,-89.3340068
1093,2,2,43.074761,-89.3837613
1666,1,3,43.074761,-89.3837613
700,1,1,43.1067143698,-89.3461247285
767,1,1,43.0650415,-89.391323192
767,1,1,43.0650415,-89.391323192
605,1,1,43.0829439313,-89.3802687782
1095,2,2,43.0650415,-89.391323192
925,1,2,43.0622189,-89.3340068
925,1,2,43.074761,-89.3837613
525,1,0,43.0024346,-89.4234537
761,1,1,43.0664088,-89.3923806235
1001,1,2,43.0664088,-89.3923806235
925,1.5,2,43.074761,-89.3837613
720,1,1,43.074761,-89.3837613
925,1.5,2,43.074761,-89.3837613
615,1,1,43.0758612245,-89.3959555102
920,2,3,43.0758612245,-89.3959555102
1370,3,4,43.074761,-89.3837613
812,1,2,43.0758612245,-89.3959555102
900,1,2,43.1288505,-89.3718224558
1090,1,2,43.0024346,-89.4234537
854,1,2,43.02934495,-89.2875719178
980,1,2,43.074761,-89.3837613
700,1,1,43.0325079221,-89.4221198916
665,1,1,43.074761,-89.3837613
980,1,2,43.074761,-89.3837613
1120,1.5,2,43.0024346,-89.4234537
800,1,1,43.074761,-89.3837613
720,1,1,43.1055762,-89.5089287
833,1,1,43.073012,-89.3986815
1114,2,2,43.074761,-89.3837613
1305,2,2,43.108534,-89.3403939
850,1,2,43.0841499011,-89.3009518431
1000,1,2,43.074761,-89.3837613
700,1,1,43.074761,-89.3837613
1500,1,3,43.065306334,-89.411389287
1500,2.5,3,43.074761,-89.3837613
700,1,1,43.074761,-89.3837613
1325,2,3,43.074761,-89.3837613
550,1,2,43.0838548597,-89.4764627353
890,1,2,43.02934495,-89.2875719178
875,1,2,43.074761,-89.3837613
875,1,2,43.074761,-89.3837613
875,1,2,43.074761,-89.3837613
950,1,2,43.074761,-89.3837613
875,1,2,43.074761,-89.3837613
875,1,2,43.074761,-89.3837613
960,1,2,43.074761,-89.3837613
812,1,2,42.9905492,-89.5335575
860,1,2,43.1055762,-89.5089287
1000,1,3,43.074761,-89.3837613
1118,1,2,42.9905492,-89.5335575
1118,1,2,42.9905492,-89.5335575
1118,1,2,42.9905492,-89.5335575
1500,2,3,43.104241,-89.3163949
900,1,2,43.104241,-89.3163949
1088,1,2,43.1055762,-89.5089287
840,1,2,43.0947623,-89.369739
975,1,2,43.104241,-89.3163949
1350,1,4,43.073012,-89.3986815
1093,2,2,43.074761,-89.3837613
1470,2,2,43.073012,-89.3986815
1400,2,3,43.074761,-89.3837613
1400,2,4,43.074761,-89.3837613
1400,2.5,3,43.074761,-89.3837613
1400,1.5,3,43.074761,-89.3837613
1400,3,3,43.074761,-89.3837613
1060,2,2,43.07571975,-89.4694812938
1060,2,2,43.07571975,-89.4694812938
1060,2,2,43.07571975,-89.4694812938
1040,1,2,43.07571975,-89.4694812938
1060,2,2,43.07571975,-89.4694812938
625,1,2,43.079605,-89.316166
665,1,1,43.074761,-89.3837613
320,1,1,43.1342878,-89.299513
1500,2.5,3,43.074761,-89.3837613
764,1,1,43.1921582,-89.4515658
1750,2,4,43.104241,-89.3163949
652,1,2,43.0823001054,-89.3655239922
1000,2,2,43.0430303691,-89.4070971974
439,1,2,43.0739343093,-89.3085713998
450,1,0,43.074761,-89.3837613
950,1,2,43.140864,-89.3067619
1400,2,2,43.0399607479,-89.4614518322
1080,2,2,43.04086,-89.464152
750,1,1,43.0687339184,-89.3904476122
716,1,1,43.07571975,-89.4694812938
716,1,1,43.07571975,-89.4694812938
1300,2,2,43.04086,-89.464152
1000,1,2,43.0442351,-89.3939484
1600,2,3,43.021764,-89.5107829
875,1,2,43.074761,-89.3837613
875,1,2,43.074761,-89.3837613
1700,2.5,2,43.140864,-89.3067619
1111,2,2,43.140864,-89.3067619
1020,2,2,43.08247,-89.519862
1153,2,2,43.074761,-89.3837613
1050,1,2,43.0835195612,-89.3566639222
1075,2,2,43.074761,-89.3837613
535,1,1,43.1350795,-89.3715858
775,1,1,43.074761,-89.3837613
775,1,1,43.074761,-89.3837613
2880,3.5,4,43.088714,-89.2877989
675,1,1,43.1055762,-89.5089287
1160,2,3,43.0024346,-89.4234537
960,1.5,2,43.0024346,-89.4234537
960,1.5,2,43.0024346,-89.4234537
626,1,1,43.138174,-89.394678308
900,1,2,43.1288505,-89.3718224558
400,1,0,43.0866877,-89.2796909
1000,1,3,43.074761,-89.3837613
941,1,1,43.0687339184,-89.3904476122
1333,2,2,43.0705936019,-89.3857077164
1060,2,2,43.07571975,-89.4694812938
685,1,1,43.074761,-89.3837613
1153,2,2,43.074761,-89.3837613
833,1,1,43.074761,-89.3837613
1093,2,2,43.074761,-89.3837613
950,1,2,43.0623475938,-89.4529880249
750,1,2,43.06203756,-89.4530506549
2200,3.5,4,42.9905492,-89.5335575
450,1,0,43.1093162052,-89.3427111992
310,1,0,43.0689520875,-89.3865501858
310,1,0,43.0689520875,-89.3865501858
310,1,0,43.0689520875,-89.3865501858
950,1,2,43.1890937,-89.4493606358
875,1,2,43.074761,-89.3837613
960,1.5,2,43.0024346,-89.4234537
1865,2,3,43.0165254615,-89.4930394231
941,1,1,43.0687339184,-89.3904476122
1200,1,2,43.0624114365,-89.4526743655
1100,2,2,43.0197516466,-89.510320815
900,1,2,43.0395422347,-89.4551564845
650,1,1,43.051467,-89.3034409
1874,1,3,43.055455691,-89.4547700663
950,1,2,43.0395693421,-89.4551475725
800,1,2,43.1252482507,-89.3661542192
1683,2.5,3,43.0852936,-89.3256873
1400,2,3,43.1350795,-89.3715858
1300,2,2,43.129771,-89.3082469
975,1,2,43.104241,-89.3163949
783,1,1,43.1890937,-89.4493606358
905,1,2,43.1890937,-89.4493606358
1060,2,2,43.07571975,-89.4694812938
1305,2,2,43.0705936019,-89.3857077164
941,1,1,43.0687339184,-89.3904476122
175,1,0,43.0736739,-89.4347396
1000,1,2,43.0317857,-89.4700784
860,1,2,43.1055762,-89.5089287
1038,1,2,43.0664088,-89.3923806235
1132,2,2,43.074761,-89.3837613
750,1,1,43.1055762,-89.5089287
1000,2,2,43.0197516466,-89.510320815
900,2,2,43.0317857,-89.4700784
620,1,1,43.074761,-89.3837613
480,1,1,43.0851488,-89.3608694
838,1.5,3,43.073012,-89.3986815
838,1.5,3,43.073012,-89.3986815
739,1,1,43.138174,-89.394678308
739,1,1,43.138174,-89.394678308
1093,2,2,43.074761,-89.3837613
850,1,2,43.135231,-89.3799519
1800,2,3,43.1890937,-89.4493606358
1038,1,2,43.0664088,-89.3923806235
1051,2,2,43.0024346,-89.4234537
630,1,1,43.1350795,-89.3715858
900,1,2,43.021018,-89.5099069
746,1,1,43.0546347,-89.4506306
1180,2,2,42.9905492,-89.5335575
760,1,2,43.077082,-89.4727079
760,1,2,43.077082,-89.4727079
875,1,2,43.074761,-89.3837613
875,1,2,43.074761,-89.3837613
1000,2,2,43.1350795,-89.3715858
1000,2,2,43.0690922838,-89.4510121451
778,1,1,43.073012,-89.3986815
707,1,1,43.073012,-89.3986815
784,1,1,43.073012,-89.3986815
994,1,2,43.073012,-89.3986815
667,1,1,43.073012,-89.3986815
1507,2,2,43.129771,-89.3082469
1048,2,2,43.073012,-89.3986815
900,1,2,43.074761,-89.3837613
1050,2,2,43.1350795,-89.3715858
800,1,1,43.074761,-89.3837613
1193,2,2,43.0024346,-89.4234537
1280,2,3,43.074761,-89.3837613
1093,2,2,43.074761,-89.3837613
425,1,0,43.0784472121,-89.3818693333
425,1,0,43.0824788163,-89.379159102
300,1,0,43.0711606531,-89.3957840408
1020,1,2,43.0836531263,-89.3774899325
1000,1,3,43.0832092857,-89.3640893061
1300,2,2,43.0024346,-89.4234537
940,1,2,43.1055762,-89.5089287
725,1,1,43.0388868889,-89.4985084444
860,1,2,43.1055762,-89.5089287
1000,1,2,43.1055762,-89.5089287
900,1,2,43.0388944444,-89.4976382222
1100,1,2,43.0395693421,-89.4551475725
1230,1.5,3,43.1144878,-89.3579508
1160,2,3,43.0024346,-89.4234537
792,1,1,43.0024346,-89.4234537
950,1,2,43.1005682857,-89.3382472857
1600,2.5,2,42.9905492,-89.5335575
1093,2,2,43.074761,-89.3837613
1015,2,2,43.003507169,-89.4996403969
1506,2,3,43.0723096458,-89.4563672753
750,1,3,43.073012,-89.3986815
1189,2,2,43.081133,-89.37541925
1281,2,2,43.0723096458,-89.4563672753
1368,1,2,43.073012,-89.3986815
1144,2.5,2,43.0316508158,-89.4992138074
1800,1.5,3,43.074761,-89.3837613
1500,2.5,3,43.0349239,-89.5259244
1572,2.5,2,43.0054978,-89.512395
610,1,1,43.053092,-89.3990159
825,1,2,43.0024346,-89.4234537
736,1,1,43.074761,-89.3837613
688,1,1,43.1220073,-89.3632797477
900,1,1,43.0907992,-89.3673435
525,1,0,43.073012,-89.3986815
1153,2,2,43.074761,-89.3837613
1457,2,2,42.9905492,-89.5335575
1200,2,3,43.0689133445,-89.4318481426
1050,2,2,43.074761,-89.3837613
1000,1,2,43.141736,-89.3056709
1400,2.5,3,43.074761,-89.3837613
1400,2,3,43.074761,-89.3837613
1400,2,4,43.074761,-89.3837613
1400,1.5,3,43.074761,-89.3837613
1000,1,2,43.074761,-89.3837613
1250,2,2,43.062092,-89.489322
792,1,1,43.0024346,-89.4234537
1160,2,3,43.0024346,-89.4234537
776,1,1,43.0703317143,-89.3924874286
1100,1,2,43.0722816,-89.3910037
1250,1,2,43.080041,-89.380854
787,1,1,43.1055762,-89.5089287
1168,2,2,43.1055762,-89.5089287
800,1,2,43.1252319578,-89.3661547332
1250,1,2,43.080041,-89.380854
1650,2,4,43.070246,-89.3910068333
2690,2,3,43.0625965,-89.4040348
1350,1.5,2,43.140864,-89.3067619
960,1,2,43.074761,-89.3837613
1246,2,2,43.0024346,-89.4234537
720,1,1,43.0024346,-89.4234537
917,1,2,43.0024346,-89.4234537
900,1,2,43.0322862467,-89.4247691378
950,1,2,43.0395422347,-89.4551564845
906,1,2,43.1067609,-89.3353921
860,1,2,43.1055762,-89.5089287
1093,2,2,43.074761,-89.3837613
530,1,1,43.0681021,-89.3879091
941,1,1,43.0687339184,-89.3904476122
1040,1,2,43.07571975,-89.4694812938
1129,2,2,43.093538186,-89.3497858573
1333,2,2,43.0705936019,-89.3857077164
1305,2,2,43.0705936019,-89.3857077164
800,1,2,43.1055762,-89.5089287
1000,1,2,43.074761,-89.3837613
1093,2,2,43.074761,-89.3837613
1001,1,2,43.0664088,-89.3923806235
599,1,2,43.0865627228,-89.3712329506
900,1,1,43.1423406804,-89.3029055031
750,1,1,43.073012,-89.3986815
920,1,2,43.1390539,-89.3656509
1762,2,2,43.0024346,-89.4234537
610,1,1,43.053092,-89.3990159
1500,2,3,42.997593,-89.4417309
1138,2,2,43.0876484,-89.2824732
1398,2.5,2,43.088482,-89.4839338
1400,2,3,43.1350795,-89.3715858
1215,2,3,43.1350795,-89.3715858
665,1,1,43.1350795,-89.3715858
1093,2,2,43.074761,-89.3837613
1188,2,2,43.1055762,-89.5089287
833,1,1,43.073012,-89.3986815
900,1,2,43.074761,-89.3837613
875,1,2,43.074761,-89.3837613
740,1,1,43.0024346,-89.4234537
833,1,1,43.074761,-89.3837613
550,1,1,43.1055762,-89.5089287
925,1,2,43.074761,-89.3837613
950,1,2,43.0981276939,-89.4992644286
864,1,1,43.0727117,-89.3802993958
1150,1.5,2,43.0281260423,-89.4163438098
1000,1,3,43.104241,-89.3163949
1000,2,2,43.0759253,-89.5075438
1747,2,3,43.0501087572,-89.4695047409
650,1,1,43.07585,-89.392138
1220,2,2,43.0501085722,-89.4692833997
1885,1.5,3,43.1055762,-89.5089287
1582,1.5,3,43.140864,-89.3067619
1473,1.5,2,43.074761,-89.3837613
1000,2,2,43.13718385,-89.3370334443
1250,1,2,43.0582808465,-89.4006102135
1060,2,2,43.07571975,-89.4694812938
1255,1.5,3,43.0664088,-89.3923806235
860,1,2,43.1055762,-89.5089287
1093,2,2,43.074761,-89.3837613
1144,1.5,2,43.0814838,-89.4675238608
1400,2.5,2,43.02934495,-89.2875719178
875,1,2,43.074761,-89.3837613
1040,2,2,43.104241,-89.3163949
825,1,2,43.074761,-89.3837613
1250,1.5,3,43.069044,-89.4597919
1250,1.5,3,43.069044,-89.4597919
1500,2,3,43.1890937,-89.4493606358
1093,2,2,43.074761,-89.3837613
1051,2,2,43.0910843189,-89.2817598234
749,1,1,43.0910843189,-89.2817598234
900,1,2,43.0560714,-89.5075943772
900,1,2,43.129771,-89.3082469
625,1,1,43.0024346,-89.4234537
795,1,1,43.073012,-89.3986815
850,1,1,43.074761,-89.3837613
1600,1,2,43.13415,-89.3156379
840,2,2,43.0024346,-89.4234537
1093,2,2,43.074761,-89.3837613
1088,1,3,43.1055762,-89.5089287
688,1,1,43.1220073,-89.3632797477
900,1,2,43.1288505,-89.3718224558
1550,2,2,43.1055762,-89.5089287
962,1,1,43.074761,-89.3837613
952,1,2,43.074761,-89.3837613
1050,2,2,43.1350795,-89.3715858
860,1,2,43.1055762,-89.5089287
875,1,2,43.074761,-89.3837613
850,1,2,43.074761,-89.3837613
900,1,2,43.1288505,-89.3718224558
950,1,2,43.074761,-89.3837613
900,1,2,43.074761,-89.3837613
850,1,1,43.0125177681,-89.4999124067
850,1,1,43.0125177681,-89.4999124067
850,1,1,43.0814838,-89.4675238608
1000,2,2,43.0814838,-89.4675238608
1129,2,2,43.093538186,-89.3497858573
860,1,2,43.1055762,-89.5089287
812,1,1,43.02934495,-89.2875719178
900,1,2,43.1288505,-89.3718224558
1060,2,2,43.0731452353,-89.397938
1250,2,2,43.074761,-89.3837613
941,1,1,43.0687339184,-89.3904476122
1125,2,2,43.0024346,-89.4234537
800,1,1,43.0439936586,-89.404067
1240,2,2,43.074761,-89.3837613
